,first_name,last_name,bioguide_id,type,reelection,retire,Code.x,senate_class,incumbent,party,inc_r,inc_wp,Sabato.20170510,Sabato.20170517,Sabato.20170802,Sabato.20170824,Sabato.20171116,Sabato.20180207,Sabato.20180215,Sabato.20180404,Sabato.20180509,Sabato.20180613,Sabato.20180621,Sabato.20180724
48,Roy,Blunt,B000575,sen,0,0,MO,3,,,,,,,,,,,,,,,,
52,Steve,Daines,D000618,sen,0,0,MT,2,,,,,,,,,,,,,,,,
53,Richard,Burr,B001135,sen,0,0,NC,3,,,,,,,,,,,,,,,,
54,Thom,Tillis,T000476,sen,0,0,NC,2,,,,,,,,,,,,,,,,
55,John,Hoeven,H001061,sen,0,0,ND,3,,,,,,,,,,,,,,,,
58,Benjamin,Sasse,S001197,sen,0,0,NE,2,,,,,,,,,,,,,,,,
59,Jeanne,Shaheen,S001181,sen,0,0,NH,2,,,,,,,,,,,,,,,,
60,Margaret,Hassan,H001076,sen,0,0,NH,3,,,,,,,,,,,,,,,,
62,Cory,Booker,B001288,sen,0,0,NJ,2,,,,,,,,,,,,,,,,
63,Tom,Udall,U000039,sen,0,0,NM,2,,,,,,,,,,,,,,,,
66,Catherine,Cortez Masto,C001113,sen,0,0,NV,3,,,,,,,,,,,,,,,,
68,Charles,Schumer,S000148,sen,0,0,NY,3,,,,,,,,,,,,,,,,
70,Robert,Portman,P000449,sen,0,0,OH,3,,,,,,,,,,,,,,,,
71,James,Inhofe,I000024,sen,0,0,OK,2,,,,,,,,,,,,,,,,
72,James,Lankford,L000575,sen,0,0,OK,3,,,,,,,,,,,,,,,,
73,Jeff,Merkley,M001176,sen,0,0,OR,2,,,,,,,,,,,,,,,,
74,Ron,Wyden,W000779,sen,0,0,OR,3,,,,,,,,,,,,,,,,
76,Patrick,Toomey,T000461,sen,0,0,PA,3,,,,,,,,,,,,,,,,
78,John,Reed,R000122,sen,0,0,RI,2,,,,,,,,,,,,,,,,
79,Lindsey,Graham,G000359,sen,0,0,SC,2,,,,,,,,,,,,,,,,
80,Tim,Scott,S001184,sen,0,0,SC,3,,,,,,,,,,,,,,,,
81,John,Thune,T000250,sen,0,0,SD,3,,,,,,,,,,,,,,,,
82,Mike,Rounds,R000605,sen,0,0,SD,2,,,,,,,,,,,,,,,,
84,Lamar,Alexander,A000360,sen,0,0,TN,2,,,,,,,,,,,,,,,,
85,John,Cornyn,C001056,sen,0,0,TX,2,,,,,,,,,,,,,,,,
88,Mike,Lee,L000577,sen,0,0,UT,3,,,,,,,,,,,,,,,,
89,Mark,Warner,W000805,sen,0,0,VA,2,,,,,,,,,,,,,,,,
92,Patrick,Leahy,L000174,sen,0,0,VT,3,,,,,,,,,,,,,,,,
94,Patty,Murray,M001111,sen,0,0,WA,3,,,,,,,,,,,,,,,,
96,Ron,Johnson,J000293,sen,0,0,WI,3,,,,,,,,,,,,,,,,
98,Shelley,Capito,C001047,sen,0,0,WV,2,,,,,,,,,,,,,,,,
100,Michael,Enzi,E000285,sen,0,0,WY,2,,,,,,,,,,,,,,,,
